g	gs	mpg	fgp	threepp	ftp	offr	defr	rpg	apg	spg	bpg	to	pf	ppg	name
118	89	25.9	0.410	0.341	0.828	0.3	1.8	2.1	4.2	0.9	0.0	2.7	1.2	11.1	Flynn, Jonny	
940	625	33.7	0.449	0.380	0.844	0.4	2.3	2.7	4.8	1.3	0.2	2.1	2.1	16.3	Terry, Jason	
616	322	28.1	0.448	0.371	0.832	0.8	3.2	4.0	3.9	1.5	0.3	2.1	2.3	15.3	Ginobili, Manu	
289	285	33.7	0.538	0.273	0.762	2.7	7.0	9.7	2.4	0.8	1.1	1.6	2.9	12.8	Horford, Al	
413	158	25.5	0.447	0.344	0.789	1.6	4.1	5.7	1.1	0.6	0.6	1.3	2.8	12.8	Villanueva, Charlie	
566	289	22.3	0.395	0.353	0.717	0.6	2.3	2.9	1.3	0.7	0.1	0.9	1.9	6.7	Bogans, Keith	
550	549	35.9	0.578	0.042	0.597	3.6	9.2	12.8	1.5	0.9	2.2	3.1	3.3	18.1	Howard, Dwight	
519	413	30.5	0.443	0.385	0.864	0.5	2.5	3.1	5.0	1.0	0.2	2.3	2.6	13.9	Williams, Mo	
318	226	24.0	0.568	0.000	0.691	2.2	4.7	6.9	1.1	0.3	1.5	1.4	2.7	10.4	Bynum, Andrew	
214	146	25.6	0.470	0.222	0.709	2.3	3.3	5.6	1.0	0.9	0.5	1.1	2.4	6.5	Mbah a Moute, Luc	
202	26	21.3	0.370	0.359	0.839	0.3	2.2	2.4	1.0	0.4	0.1	0.7	1.8	7.7	Cook, Daequan	
86	17	24.3	0.484	0.413	0.789	0.6	2.5	3.1	1.9	0.5	0.1	0.9	1.8	11.3	Williams, Reggie	
1002	622	25.6	0.486	0.233	0.763	1.8	5.1	7.0	1.1	0.7	0.8	1.2	3.4	8.7	Thomas, Kurt	
444	411	35.7	0.465	0.356	0.808	0.5	2.7	3.2	9.2	1.0	0.2	3.1	2.7	17.2	Williams, Deron	
419	103	24.7	0.519	0.043	0.605	2.3	4.6	6.9	0.9	0.8	0.7	0.9	2.8	7.1	Varejao, Anderson	
490	61	13.5	0.389	0.349	0.788	0.5	1.5	2.1	0.9	0.3	0.2	0.7	1.7	3.2	Scalabrine, Brian	
313	96	20.5	0.454	0.182	0.728	1.5	3.7	5.3	0.9	0.9	1.4	1.4	2.5	8.4	Thomas, Tyrus	
715	632	34.8	0.470	0.361	0.776	1.1	3.9	5.0	2.7	0.8	0.4	2.0	2.6	16.5	Jefferson, Richard	
311	268	30.0	0.515	0.071	0.735	2.2	5.8	8.0	1.8	0.8	0.3	1.6	3.0	14.2	Scola, Luis	
82	0	9.0	0.398	0.200	0.653	0.5	1.2	1.7	0.4	0.2	0.3	0.5	0.7	3.4	Clark, Earl	
413	306	28.3	0.434	0.291	0.815	0.7	2.5	3.2	5.9	1.2	0.1	2.5	2.3	11.5	Ford, T.J.	
405	262	24.1	0.596	0.000	0.511	2.7	5.3	8.1	1.1	0.7	1.2	1.1	3.4	7.7	Biedrins, Andris	
118	118	37.4	0.439	0.272	0.753	0.9	4.2	5.1	5.7	1.6	0.4	3.1	2.8	19.4	Evans, Tyreke	
207	12	14.2	0.511	0.164	0.535	1.3	2.3	3.6	0.6	0.8	0.5	0.6	2.0	4.1	Balkman, Renaldo	
589	556	36.3	0.441	0.319	0.848	1.6	4.3	5.9	2.9	1.6	0.3	2.3	2.7	16.6	Butler, Caron	
429	133	17.0	0.454	0.326	0.735	0.5	1.5	1.9	0.9	0.5	0.3	1.0	2.1	6.1	Jones, Dahntay	
655	84	19.9	0.416	0.348	0.802	0.2	1.2	1.4	2.3	0.7	0.1	1.1	1.7	7.2	Dooling, Keyon	
39	4	11.2	0.409	0.333	0.625	0.2	0.8	1.0	0.7	0.4	0.2	0.8	1.3	4.0	Temple, Garrett	
277	167	28.8	0.451	0.294	0.745	1.4	2.9	4.3	1.2	0.6	0.5	1.5	2.6	12.3	Thornton, Al	
237	66	15.2	0.408	0.273	0.631	1.0	2.4	3.3	1.2	0.4	0.5	0.7	1.4	2.5	McGuire, Dominic	
610	609	40.2	0.477	0.330	0.743	1.2	5.9	7.1	7.0	1.7	0.8	3.3	2.0	27.7	James, LeBron	
103	27	15.3	0.372	0.071	0.728	1.4	2.3	3.7	0.4	0.3	0.2	0.8	2.0	5.1	Barron, Earl	
637	624	32.2	0.481	0.237	0.637	1.8	5.4	7.2	2.1	1.2	1.2	1.9	3.4	13.6	Martin, Kenyon	
906	898	36.6	0.445	0.376	0.797	1.5	3.8	5.3	4.0	1.2	0.7	2.2	3.0	22.4	Carter, Vince	
374	155	22.4	0.461	0.237	0.734	1.8	3.5	5.3	1.5	0.8	0.9	1.6	2.6	9.7	Blatche, Andray	
462	149	15.5	0.478	0.188	0.700	1.1	2.5	3.5	0.6	0.5	0.6	0.8	2.2	3.7	Elson, Francisco	
125	7	11.1	0.407	0.271	0.811	0.1	1.0	1.1	1.8	0.5	0.2	0.8	1.1	3.6	Teague, Jeff	
359	280	35.4	0.471	0.325	0.766	0.9	2.8	3.7	4.1	1.7	0.3	2.7	2.5	19.3	Ellis, Monta	
60	41	27.7	0.428	0.250	0.662	2.8	5.7	8.5	2.1	1.0	0.9	3.0	4.0	14.1	Cousins, DeMarcus	
140	128	27.4	0.481	0.149	0.787	0.9	2.4	3.2	1.2	0.7	0.3	1.2	2.5	12.2	DeRozan, DeMar	
410	410	37.1	0.472	0.363	0.855	0.7	3.9	4.6	9.9	2.4	0.1	2.5	2.6	18.8	Paul, Chris	
960	897	34.4	0.459	0.205	0.807	1.2	2.9	4.1	7.2	1.4	0.2	2.6	2.4	14.5	Miller, Andre	
462	84	22.8	0.432	0.345	0.742	0.9	2.7	3.5	0.9	0.6	0.7	0.9	1.8	9.5	Outlaw, Travis	
471	340	29.6	0.503	0.000	0.704	2.7	6.0	8.7	1.2	0.7	1.3	1.6	2.9	15.7	Jefferson, Al	
226	209	33.9	0.419	0.265	0.814	1.9	3.0	4.8	7.1	1.4	0.3	3.5	2.5	17.5	Westbrook, Russell	
170	11	15.0	0.429	0.359	0.716	0.9	1.8	2.7	0.7	0.3	0.4	0.7	1.9	5.6	Williams, Shawne	
467	134	16.5	0.406	0.352	0.687	0.4	1.5	1.8	1.0	0.5	0.2	0.9	1.9	5.4	Pavlovic, Aleksandar	
707	30	17.3	0.410	0.390	0.851	0.2	1.5	1.7	1.6	0.6	0.1	0.8	1.3	7.5	House, Eddie	
13	0	8.9	0.583	0.000	0.500	0.8	1.6	2.5	0.2	0.3	0.5	0.5	1.8	1.2	Aldrich, Cole	
215	77	25.5	0.417	0.390	0.871	0.3	1.6	1.9	3.8	0.6	0.0	1.5	1.8	10.5	Augustin, D.J.	
268	39	12.0	0.501	0.167	0.603	1.0	1.6	2.6	0.3	0.3	0.5	0.8	2.0	3.1	Armstrong, Hilton	
385	112	25.7	0.528	0.194	0.702	2.4	4.3	6.7	1.5	1.0	1.0	1.4	3.4	11.1	Millsap, Paul	
729	716	33.0	0.492	0.313	0.733	0.4	2.6	3.1	5.7	1.0	0.1	2.5	1.9	16.7	Parker, Tony	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Williams, Elliot	
27	4	17.0	0.474	0.000	0.594	1.9	2.0	3.9	0.4	0.2	0.5	1.2	1.9	6.8	Samuels, Samardo	
958	757	24.7	0.498	0.125	0.626	2.8	4.4	7.2	0.8	0.3	1.4	1.5	3.0	7.6	Dampier, Erick	
12	0	10.9	0.400	0.000	1.000	0.3	0.8	1.1	2.3	0.8	0.2	1.1	1.2	3.9	Dowdell, Zabian	
27	18	24.4	0.433	0.288	0.722	0.9	2.5	3.4	0.9	0.9	0.8	1.2	2.2	8.0	Eyenga, Christian	
62	30	26.2	0.542	0.000	0.569	2.8	4.1	6.9	1.0	1.0	0.6	1.0	2.4	8.4	Monroe, Greg	
20	0	5.8	0.412	0.400	0.783	0.8	0.6	1.4	0.1	0.2	0.2	0.3	0.4	3.1	Ebanks, Devin	
419	331	31.0	0.446	0.383	0.862	0.7	2.9	3.5	2.0	1.0	0.1	1.8	2.0	18.2	Martin, Kevin	
