g	gs	mpg	fgp	threepp	ftp	offr	defr	rpg	apg	spg	bpg	to	pf	ppg	name
63	14	18.2	0.395	0.328	0.758	0.9	2.4	3.4	0.7	0.8	0.3	1.3	1.5	6.0	Aminu, Al-Farouq	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Pittman, Dexter	
438	358	29.2	0.450	0.360	0.801	1.4	3.5	4.9	1.6	0.8	0.2	1.2	2.0	11.0	Gomes, Ryan	
342	85	18.0	0.525	0.000	0.682	1.1	2.7	3.8	1.6	0.4	1.4	0.8	2.6	5.4	Turiaf, Ronny	
721	483	27.3	0.399	0.356	0.715	1.3	3.6	4.9	1.5	0.8	0.2	1.2	2.0	10.8	Richardson, Quentin	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Sy, Pape	
788	667	29.4	0.398	0.327	0.813	0.2	2.1	2.3	5.9	1.2	0.1	2.1	1.4	10.5	Williams, Jason	
135	58	25.5	0.433	0.374	0.685	1.0	3.6	4.6	1.1	0.7	0.2	1.2	1.7	9.9	Casspi, Omri	
832	720	27.4	0.476	0.313	0.781	2.9	4.5	7.4	1.1	0.5	1.6	1.8	3.3	13.1	Ilgauskas, Zydrunas	
318	42	17.8	0.495	0.000	0.833	1.4	2.6	4.0	0.5	0.3	0.6	0.9	1.6	7.5	Bass, Brandon	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	White, Terrico	
928	906	34.9	0.486	0.315	0.770	1.2	5.1	6.3	4.4	1.3	0.6	2.5	2.4	17.6	Hill, Grant	
48	0	8.4	0.435	0.240	0.515	0.2	0.8	1.0	1.3	0.4	0.0	0.6	0.7	3.6	Gaines, Sundiata	
531	523	37.6	0.484	0.292	0.767	1.3	3.8	5.1	6.4	1.8	1.0	3.7	2.6	25.4	Wade, Dwyane	
88	2	15.3	0.394	0.318	0.777	0.3	1.3	1.6	1.8	0.6	0.0	1.0	1.1	7.0	Price, A.J.	
480	418	29.8	0.486	0.000	0.738	2.2	6.1	8.4	1.3	0.5	1.4	2.3	3.0	11.7	Kaman, Chris	
558	249	22.1	0.488	0.111	0.575	1.8	3.7	5.5	0.9	0.5	0.6	1.3	2.3	6.7	Brown, Kwame	
245	10	10.8	0.483	0.111	0.716	0.9	1.4	2.3	0.4	0.2	0.6	0.6	2.0	3.1	Jones, Solomon	
393	98	18.4	0.480	0.295	0.732	0.8	1.8	2.6	1.3	1.1	0.4	1.4	2.2	7.3	Allen, Tony	
563	299	25.1	0.407	0.391	0.784	0.3	1.8	2.1	4.0	0.7	0.1	1.4	1.5	7.2	Blake, Steve	
598	249	24.1	0.401	0.361	0.751	0.4	2.2	2.6	0.9	0.4	0.6	0.7	1.6	8.6	Butler, Rasual	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Redd, Michael	
138	5	24.4	0.416	0.365	0.826	0.6	2.7	3.2	1.9	1.1	0.3	1.3	2.6	10.5	Harden, James	
457	169	18.5	0.419	0.318	0.711	0.6	1.5	2.1	0.9	0.6	0.3	0.5	1.9	4.1	Ross, Quinton	
299	88	25.6	0.424	0.312	0.761	0.8	2.4	3.2	4.4	1.1	0.2	1.7	2.3	9.5	Lowry, Kyle	
333	224	25.6	0.515	0.229	0.703	1.0	2.0	3.0	1.8	1.4	0.2	0.9	1.3	9.6	Brewer, Ronnie	
570	327	26.4	0.427	0.358	0.868	0.5	1.8	2.3	4.9	1.1	0.2	1.7	2.2	9.6	Ridnour, Luke	
216	18	12.7	0.508	0.500	0.794	1.3	1.9	3.1	0.3	0.2	0.3	0.9	1.9	6.1	Diogu, Ike	
31	3	11.1	0.375	0.333	0.563	0.2	1.2	1.4	2.1	0.5	0.1	0.8	0.9	2.5	Smith, Ish	
5	0	3.4	0.000	0.000	0.667	0.0	0.2	0.2	0.0	0.0	0.2	0.2	1.2	0.8	N'Diaye, Hamady	
124	8	8.7	0.480	0.000	0.633	0.9	1.4	2.3	0.3	0.2	0.4	0.5	1.2	3.1	Koufos, Kosta	
239	16	16.3	0.427	0.341	0.813	0.3	1.3	1.7	1.1	0.6	0.2	0.9	1.4	7.0	Brown, Shannon	
61	0	20.3	0.448	0.419	0.802	0.3	2.3	2.5	1.1	0.3	0.1	0.9	1.8	9.4	Neal, Gary	
654	297	26.6	0.440	0.370	0.806	0.5	2.5	3.0	2.5	0.9	0.3	1.5	1.9	10.0	Salmons, John	
437	9	18.1	0.499	0.087	0.644	1.8	3.4	5.3	0.5	0.4	1.6	0.8	2.0	5.4	Andersen, Chris	
1206	1197	34.7	0.582	0.045	0.527	3.5	7.4	10.9	2.5	0.6	2.3	2.7	3.4	23.7	O'Neal, Shaquille	
880	651	28.1	0.465	0.147	0.711	2.0	5.4	7.5	1.5	0.5	1.9	2.0	2.9	14.0	O'Neal, Jermaine	
511	109	25.0	0.465	0.391	0.824	0.4	1.9	2.3	2.5	1.0	0.2	1.5	2.2	12.6	Barbosa, Leandro	
148	53	21.0	0.442	0.290	0.838	0.4	1.8	2.2	1.3	0.6	0.3	1.1	1.3	7.8	Douglas-Roberts, Chris	
419	40	14.8	0.458	0.133	0.622	1.5	2.9	4.4	0.5	0.4	0.5	0.7	1.7	5.4	Humphries, Kris	
279	139	28.4	0.509	0.336	0.719	1.8	3.1	4.9	1.1	1.2	0.2	1.4	2.0	12.5	Young, Thaddeus	
1	0	1.0	0.000	0.000	0.000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	Lawal, Gani	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Jerebko, Jonas	
714	708	35.9	0.522	0.226	0.749	2.8	6.3	9.1	3.2	0.6	1.7	2.4	2.4	18.8	Gasol, Pau	
145	86	19.9	0.529	0.000	0.591	2.6	4.2	6.8	0.9	0.9	0.5	1.4	2.7	8.2	Blair, DeJuan	
274	119	23.9	0.445	0.369	0.798	0.8	3.3	4.1	1.7	0.8	0.6	1.0	1.6	8.5	Wright, Dorell	
135	132	35.2	0.472	0.430	0.908	0.6	3.5	4.1	5.9	1.8	0.3	3.0	3.1	18.0	Curry, Stephen	
40	14	18.1	0.396	0.395	0.803	0.8	2.1	2.9	1.6	0.6	0.1	1.3	1.2	6.6	Harris, Manny	
422	264	30.8	0.545	0.000	0.775	2.8	6.8	9.6	2.1	0.8	0.4	1.7	2.7	13.4	Lee, David	
127	21	22.4	0.502	0.389	0.747	0.7	1.5	2.1	3.6	0.8	0.0	1.4	1.5	9.4	Lawson, Ty	
1025	619	26.4	0.455	0.238	0.790	2.4	4.0	6.4	1.0	0.6	0.8	1.3	2.9	10.9	Smith, Joe	
15	0	5.3	0.406	0.000	0.684	0.5	0.9	1.4	0.1	0.3	0.0	0.5	0.7	2.6	Jeffers, Othyus	
524	246	30.5	0.435	0.403	0.858	0.6	2.3	2.8	2.9	0.8	0.2	2.3	2.6	17.3	Gordon, Ben	
647	519	31.6	0.471	0.277	0.769	2.9	6.2	9.1	1.7	0.8	0.3	2.2	2.4	17.6	Randolph, Zach	
426	173	18.5	0.459	0.000	0.579	1.4	2.9	4.3	0.9	0.4	1.3	1.2	2.3	6.1	Milicic, Darko	
33	0	6.7	0.719	0.000	0.700	0.5	1.0	1.5	0.3	0.3	0.3	0.4	0.8	3.2	Evans, Jeremy	
279	73	17.7	0.590	0.182	0.711	1.9	2.8	4.7	0.6	0.5	1.1	0.8	3.0	5.9	Johnson, Amir	
577	560	34.5	0.539	0.250	0.761	2.7	6.2	8.9	1.5	0.9	1.5	2.7	3.5	21.9	Stoudemire, Amar'e	
920	793	36.5	0.455	0.347	0.728	2.5	5.5	8.0	1.7	1.0	0.4	1.7	2.5	19.7	Jamison, Antawn	
251	45	24.8	0.541	0.182	0.771	2.2	3.0	5.2	0.7	0.5	0.5	1.3	2.6	12.0	Landry, Carl	
306	161	27.3	0.414	0.363	0.862	0.4	2.1	2.4	3.4	0.7	0.2	1.8	2.2	11.9	Foye, Randy	
285	26	21.2	0.466	0.412	0.733	1.3	2.2	3.4	1.1	0.9	0.2	0.8	1.7	7.2	Dudley, Jared	
859	479	27.0	0.410	0.350	0.820	0.9	3.8	4.7	1.6	1.1	0.4	1.1	2.7	8.6	Posey, James	
38	7	14.2	0.580	0.000	0.630	0.9	2.0	2.9	0.5	0.3	0.6	0.9	2.5	3.9	Erden, Semih	
100	1	10.4	0.506	0.308	0.613	0.6	1.0	1.6	0.5	0.4	0.2	0.5	1.0	3.4	Brown, Derrick	
232	26	13.8	0.401	0.384	0.807	0.1	1.0	1.1	1.9	0.4	0.0	0.6	1.0	4.6	Quinn, Chris	
137	11	20.0	0.437	0.348	0.804	0.6	2.6	3.2	1.3	0.5	0.2	0.7	1.3	9.0	Budinger, Chase	
944	934	34.9	0.437	0.379	0.803	0.6	2.6	3.2	5.7	1.2	0.2	2.2	2.0	15.3	Bibby, Mike	
205	104	27.3	0.425	0.402	0.693	0.5	3.1	3.6	1.1	0.6	0.6	1.1	1.8	9.0	Rush, Brandon	
135	24	21.8	0.550	0.333	0.696	2.2	4.1	6.3	0.2	0.4	1.7	0.9	2.9	7.7	Ibaka, Serge	
882	817	36.4	0.484	0.332	0.815	2.5	6.9	9.4	1.9	1.7	1.2	1.6	2.4	16.9	Marion, Shawn	
200	8	24.2	0.396	0.372	0.852	0.6	2.0	2.6	2.2	1.0	0.2	1.1	1.5	9.3	Fernandez, Rudy	
162	11	11.8	0.414	0.323	0.766	0.2	0.9	1.1	0.7	0.4	0.1	0.5	0.8	5.1	Wafer, Von	
485	129	23.8	0.427	0.367	0.743	0.5	2.3	2.8	2.0	0.9	0.2	1.5	2.1	12.4	Smith, J.R.	
31	0	11.1	0.336	0.255	0.824	0.6	1.1	1.8	0.7	0.3	0.2	0.5	1.2	3.8	Hayward, Lazar	
617	446	29.1	0.460	0.377	0.797	2.0	5.1	7.1	1.7	0.5	0.7	1.6	2.9	13.7	Okur, Mehmet	
1093	662	26.2	0.402	0.375	0.818	0.4	1.8	2.1	3.1	1.1	0.1	1.2	2.1	8.8	Fisher, Derek	
1075	916	31.3	0.490	0.429	0.904	0.5	2.5	3.0	8.4	0.8	0.1	2.8	1.7	14.6	Nash, Steve	
23	0	4.7	0.268	0.000	0.500	0.2	0.3	0.5	0.3	0.3	0.0	0.5	0.7	1.2	Bradley, Avery	
476	138	17.6	0.436	0.333	0.724	0.9	2.0	2.9	2.3	0.6	0.2	1.1	1.4	5.1	Walton, Luke	
171	72	18.7	0.469	0.000	0.721	1.4	2.8	4.2	0.5	0.6	0.6	0.8	2.6	6.6	Arthur, Darrell	
294	261	34.3	0.444	0.338	0.773	1.3	4.4	5.7	1.7	0.9	0.6	1.9	2.6	14.2	Green, Jeff	
357	250	30.2	0.442	0.370	0.818	1.0	4.0	4.9	1.2	0.4	1.0	1.6	2.8	15.0	Bargnani, Andrea	
65	24	13.1	0.505	0.388	0.789	0.2	1.2	1.3	1.5	0.6	0.2	1.0	1.6	7.4	Beaubois, Rodrigue	
175	48	18.2	0.420	0.380	0.839	1.5	2.8	4.3	0.7	0.5	0.4	0.9	1.9	8.4	Anderson, Ryan	
554	513	32.7	0.539	0.111	0.725	2.7	7.5	10.1	2.5	1.0	0.5	2.3	3.2	17.3	Boozer, Carlos	
42	0	19.5	0.461	0.280	0.779	0.6	3.0	3.6	1.0	1.0	0.4	1.0	1.9	8.0	George, Paul	
304	295	36.5	0.462	0.355	0.801	1.1	3.3	4.4	4.8	1.1	0.2	1.9	2.0	19.7	Roy, Brandon	
117	17	21.2	0.436	0.369	0.789	0.7	1.7	2.5	2.2	1.0	0.0	1.1	2.1	9.0	Douglas, Toney	
124	6	8.2	0.502	0.000	0.387	0.7	1.2	2.0	0.3	0.1	0.4	0.5	1.7	2.3	Fesenko, Kyrylo	
343	79	22.4	0.423	0.387	0.774	0.3	2.1	2.4	2.1	0.7	0.1	1.3	1.5	8.2	Head, Luther	
645	448	27.6	0.566	0.000	0.626	3.1	5.8	8.8	0.8	0.5	1.4	1.6	3.1	8.3	Chandler, Tyson	
476	87	18.4	0.443	0.439	0.833	0.3	1.4	1.7	0.8	0.4	0.0	0.7	1.6	7.0	Kapono, Jason	
291	67	21.8	0.439	0.388	0.822	0.3	1.5	1.8	1.0	0.5	0.2	1.1	1.9	10.9	Young, Nick	
187	80	19.0	0.642	0.000	0.402	1.9	3.6	5.5	0.3	0.3	1.2	1.0	2.4	5.3	Jordan, DeAndre	
188	22	19.1	0.448	0.242	0.806	0.3	1.3	1.6	3.3	0.7	0.1	1.5	1.8	8.0	Bynum, Will	
256	35	12.0	0.551	0.000	0.660	0.9	1.2	2.2	0.3	0.2	0.5	0.8	2.1	4.0	Hollins, Ryan	
195	89	19.0	0.514	0.000	0.629	1.9	3.2	5.1	0.3	0.4	1.6	0.9	2.3	7.3	McGee, JaVale	
415	228	27.7	0.487	0.387	0.871	0.4	2.1	2.5	6.9	0.9	0.1	1.7	1.7	9.8	Calderon, Jose	
80	11	18.5	0.412	0.000	0.787	2.0	2.7	4.8	0.7	0.5	0.3	0.9	2.3	9.0	Hansbrough, Tyler	
218	179	35.4	0.440	0.376	0.828	0.7	2.8	3.5	2.8	1.1	0.2	2.2	2.2	16.4	Mayo, O.J.	
412	330	31.2	0.450	0.301	0.807	1.4	3.9	5.4	1.4	0.8	0.5	1.3	2.4	11.8	Williams, Marvin	
568	466	33.7	0.418	0.381	0.814	0.4	2.9	3.3	5.7	1.3	0.3	2.1	3.1	13.2	Hinrich, Kirk	
395	37	15.3	0.412	0.382	0.859	0.7	1.8	2.5	1.1	0.7	0.2	0.8	2.1	5.1	Cardinal, Brian	
557	286	19.4	0.466	0.125	0.522	2.4	4.4	6.8	0.6	0.7	0.2	1.1	2.4	4.2	Evans, Reggie	
347	203	22.2	0.437	0.311	0.711	0.8	3.0	3.8	1.5	1.0	0.5	1.0	1.8	5.5	Sefolosha, Thabo	
179	155	24.5	0.464	0.366	0.833	1.1	2.5	3.6	1.2	0.7	0.6	0.8	2.1	8.7	Batum, Nicolas	
120	4	7.8	0.429	0.214	0.629	0.7	0.9	1.5	0.2	0.2	0.1	0.4	1.2	2.1	Jackson, Darnell	
136	97	28.7	0.462	0.371	0.856	0.5	2.1	2.7	5.3	1.1	0.1	2.6	1.2	12.8	Collison, Darren	
443	90	21.0	0.501	0.220	0.725	1.4	2.8	4.2	0.7	0.4	0.3	1.2	2.0	9.9	Warrick, Hakim	
36	0	13.5	0.574	0.000	0.625	1.3	1.6	2.9	0.7	0.3	0.6	0.6	1.1	5.1	Patterson, Patrick	
366	313	31.8	0.491	0.256	0.622	1.1	3.3	4.4	7.5	2.0	0.1	2.5	2.3	10.7	Rondo, Rajon	
367	93	21.2	0.399	0.357	0.740	0.7	2.9	3.6	1.6	0.8	0.2	1.0	1.6	7.4	Delfino, Carlos	
19	0	7.0	0.371	0.333	0.750	0.1	0.6	0.6	1.4	0.3	0.0	0.4	0.8	1.9	Warren, Willie	
586	181	20.1	0.405	0.248	0.703	0.4	1.7	2.1	3.9	1.0	0.2	1.6	1.8	5.0	Carter, Anthony	
258	28	20.3	0.450	0.150	0.713	1.5	2.4	4.0	0.8	0.6	0.3	1.0	2.7	7.2	Davis, Glen	
483	162	21.3	0.446	0.331	0.728	1.2	3.2	4.4	1.7	0.7	0.4	1.2	2.3	7.3	Barnes, Matt	
1086	938	36.4	0.455	0.339	0.838	1.2	4.1	5.3	4.7	1.5	0.5	2.9	2.6	25.3	Bryant, Kobe	
945	942	37.1	0.448	0.370	0.804	1.0	5.1	6.1	3.8	1.5	0.6	2.9	2.9	22.3	Pierce, Paul	
592	85	18.4	0.484	0.313	0.672	1.5	2.3	3.8	0.8	0.7	0.4	0.7	2.3	5.0	Najera, Eduardo	
522	453	36.0	0.422	0.352	0.804	0.8	3.2	4.1	5.5	1.6	0.2	3.3	3.1	21.5	Arenas, Gilbert	
120	30	17.5	0.448	0.154	0.737	1.8	3.5	5.3	0.9	0.7	1.2	1.2	2.2	8.0	Randolph, Anthony	
394	72	23.1	0.426	0.354	0.793	0.8	1.8	2.6	2.6	0.9	0.1	1.4	2.5	11.3	Robinson, Nate	
746	704	34.2	0.420	0.344	0.718	1.2	3.6	4.8	3.1	1.9	0.6	2.1	2.8	14.9	Artest, Ron	
280	252	31.3	0.444	0.383	0.762	0.4	2.5	2.9	5.1	1.3	0.1	2.0	2.0	11.6	Conley, Mike	
719	530	31.9	0.463	0.405	0.770	0.7	4.3	5.1	3.2	0.7	0.3	1.9	2.3	13.4	Miller, Mike	
754	684	36.8	0.443	0.367	0.794	1.0	3.2	4.2	4.5	1.0	0.2	2.2	2.0	17.7	Johnson, Joe	
47	0	11.7	0.516	0.000	0.762	0.9	2.0	2.9	0.3	0.3	0.4	0.3	1.4	4.9	White, DJ	
1040	1038	36.0	0.507	0.183	0.687	3.0	8.4	11.4	3.1	0.7	2.3	2.6	2.5	20.6	Duncan, Tim	
532	325	22.8	0.430	0.255	0.580	2.0	2.3	4.3	1.4	0.7	0.5	1.2	2.5	5.2	Jeffries, Jared	
179	8	12.5	0.403	0.239	0.772	0.2	0.8	1.0	1.6	0.4	0.0	0.8	1.0	3.7	Law, Acie	
39	0	5.4	0.492	0.000	0.739	0.5	0.6	1.1	0.2	0.1	0.3	0.5	1.2	2.1	Caracter, Derrick	
143	2	15.2	0.408	0.356	0.724	0.3	1.3	1.6	3.0	0.5	0.1	1.0	1.3	4.6	Maynor, Eric	
802	418	21.5	0.490	0.164	0.688	1.7	3.5	5.2	0.6	0.5	0.9	0.9	2.7	6.3	Battie, Tony	
965	871	32.3	0.417	0.390	0.894	0.5	2.5	2.9	5.6	1.0	0.2	2.1	2.1	15.5	Billups, Chauncey	
122	7	18.4	0.421	0.406	0.818	0.4	1.6	2.0	1.1	0.3	0.1	1.0	1.1	6.8	Ellington, Wayne	
101	0	12.4	0.443	0.347	0.667	0.7	2.1	2.9	0.6	0.2	0.2	0.6	1.6	4.9	Andersen, David	
31	0	9.3	0.416	0.235	0.750	0.6	1.3	1.9	0.4	0.1	0.3	0.2	1.4	2.8	Harangody, Luke	
906	812	34.3	0.455	0.390	0.807	1.5	4.1	5.6	1.8	1.1	0.6	1.6	2.5	16.3	Lewis, Rashard	
348	37	16.0	0.432	0.327	0.768	0.3	1.2	1.5	2.1	0.8	0.2	1.2	1.9	5.9	Banks, Marcus	
122	11	15.2	0.455	0.000	0.674	1.0	1.8	2.9	0.4	0.5	0.4	0.4	2.0	4.4	Cunningham, Dante	
873	692	33.8	0.435	0.337	0.748	1.5	4.4	5.8	4.6	1.3	0.9	2.2	1.8	20.7	McGrady, Tracy	
792	665	33.8	0.450	0.400	0.895	0.9	3.8	4.7	1.8	0.9	0.1	1.4	1.8	17.1	Stojakovic, Peja	
98	30	12.8	0.546	0.000	0.698	1.2	1.9	3.0	0.4	0.3	0.7	0.5	1.3	5.7	Wright, Brandan	
340	59	19.9	0.447	0.336	0.752	1.0	2.6	3.6	0.8	0.4	0.2	1.0	2.1	8.6	Kleiza, Linas	
15	0	10.7	0.452	0.000	0.545	1.3	2.0	3.3	0.6	0.2	0.3	0.3	1.6	2.9	Adrien, Jeff	
15	0	12.7	0.407	0.438	0.750	0.0	0.7	0.7	0.9	0.1	0.2	0.4	0.9	4.5	Anderson, James	
46	4	22.6	0.612	0.000	0.536	2.4	4.4	6.8	0.5	0.5	1.1	0.5	2.8	6.8	Davis, Ed	
486	476	32.5	0.524	0.200	0.833	2.5	6.7	9.2	1.6	0.4	1.9	2.7	3.3	19.0	Yao Ming	
57	6	14.2	0.552	0.000	0.623	1.3	2.0	3.3	0.4	0.4	0.6	0.5	1.6	4.5	Booker, Trevor	
359	88	18.9	0.407	0.380	0.862	0.2	1.7	1.8	1.5	0.4	0.2	0.8	1.5	7.0	Mason Jr., Roger	
540	216	15.8	0.455	0.000	0.699	1.2	1.7	2.9	0.8	0.3	0.2	0.6	2.4	3.9	Collins, Jarron	
376	137	24.9	0.412	0.361	0.769	0.5	1.7	2.2	2.3	0.8	0.1	1.0	2.0	8.5	Bell, Charlie	
352	89	23.3	0.445	0.373	0.805	0.6	2.3	2.9	1.6	0.8	0.7	1.2	2.5	9.1	Garcia, Francisco	
598	454	30.5	0.473	0.319	0.715	1.5	4.7	6.2	2.0	1.5	1.0	1.8	2.4	13.3	Wallace, Gerald	
220	219	37.2	0.470	0.300	0.801	1.0	3.0	4.0	6.7	0.8	0.4	2.9	1.5	20.4	Rose, Derrick	
999	629	27.7	0.497	0.117	0.669	2.4	5.1	7.5	1.3	0.8	1.1	1.6	3.0	12.1	McDyess, Antonio	
23	0	8.7	0.340	0.000	0.667	0.3	0.6	0.9	1.1	1.1	0.4	0.6	0.9	1.9	Lin, Jeremy	
55	12	13.5	0.451	0.382	0.737	0.6	1.2	1.7	0.8	0.3	0.2	0.8	1.4	3.7	Hayward, Gordon	
39	1	9.9	0.411	0.000	0.720	1.4	1.1	2.5	0.2	0.1	0.5	0.6	2.1	2.5	Seraphin, Kevin	
427	126	20.2	0.423	0.330	0.805	0.9	1.7	2.6	1.5	0.8	0.2	1.0	1.7	6.8	Wilkins, Damien	
64	25	24.3	0.410	0.283	0.762	0.9	2.1	3.0	3.9	1.1	0.3	2.5	1.7	6.9	Bledsoe, Eric	
400	358	25.3	0.492	0.143	0.728	1.8	3.6	5.4	0.8	0.4	0.7	1.2	3.0	10.1	Krstic, Nenad	
647	210	23.3	0.417	0.380	0.758	0.9	3.1	4.0	1.4	0.8	0.4	1.2	2.2	8.6	Radmanovic, Vladimir	
483	301	27.4	0.393	0.361	0.790	0.4	2.1	2.4	4.9	0.8	0.0	1.6	1.7	7.3	Duhon, Chris	
62	46	26.6	0.414	0.355	0.667	0.7	2.3	3.0	2.0	0.7	0.7	1.3	2.3	9.3	Johnson, Wesley	
643	604	33.4	0.464	0.371	0.763	1.3	3.4	4.7	2.7	0.6	0.6	1.2	1.4	12.9	Prince, Tayshaun	
372	223	28.1	0.446	0.373	0.819	0.5	2.5	3.1	3.6	1.1	0.4	1.6	2.0	9.9	West, Delonte	
537	537	38.0	0.462	0.322	0.748	1.1	4.7	5.8	4.8	1.8	0.5	2.4	2.2	15.7	Iguodala, Andre	
674	471	30.9	0.471	0.312	0.763	1.8	3.8	5.7	2.8	1.4	2.0	2.0	2.1	12.4	Kirilenko, Andrei	
196	9	13.9	0.440	0.311	0.726	1.1	1.9	2.9	0.4	0.3	0.5	0.7	2.0	4.1	Smith, Jason	
620	423	28.8	0.441	0.362	0.796	0.9	3.8	4.7	2.5	0.8	0.3	1.6	2.2	12.1	Dunleavy, Mike	
32	0	7.2	0.439	0.455	0.579	0.3	0.7	1.0	1.2	0.1	0.0	1.0	0.8	2.8	Johnson, Armon	
572	572	36.4	0.459	0.312	0.803	1.9	4.4	6.3	3.1	1.1	0.5	3.1	3.0	24.8	Anthony, Carmelo	
296	45	17.1	0.436	0.351	0.807	0.3	1.5	1.7	2.8	0.4	0.0	1.2	1.4	6.9	Barea, Jose	
63	1	9.0	0.368	0.386	0.625	0.2	0.6	0.8	0.3	0.2	0.1	0.4	1.1	3.1	Summers, DaJuan	
844	597	28.7	0.481	0.321	0.803	2.0	5.3	7.3	2.9	0.8	0.7	1.6	2.8	11.4	Miller, Brad	
381	373	32.7	0.524	0.050	0.572	2.9	6.5	9.4	2.3	0.7	1.5	2.0	3.3	12.7	Bogut, Andrew	
50	6	13.5	0.513	0.000	0.764	1.5	1.7	3.2	0.4	0.2	0.6	1.3	2.7	5.4	Pekovic, Nikola	
51	4	11.4	0.457	0.341	0.612	0.5	1.1	1.6	0.6	0.3	0.1	0.6	1.2	4.8	Forbes, Gary	
206	124	29.8	0.462	0.377	0.827	3.9	7.8	11.7	1.9	0.6	0.5	1.8	2.3	15.0	Love, Kevin	
442	182	24.6	0.434	0.316	0.665	1.2	3.1	4.3	1.8	1.3	0.3	1.3	2.0	8.8	Ariza, Trevor	
25	0	4.4	0.316	0.000	0.500	0.3	0.8	1.2	0.0	0.1	0.1	0.4	0.9	1.2	Mullens, Byron	
213	126	27.1	0.412	0.349	0.782	0.3	2.0	2.3	3.7	1.5	0.1	1.7	2.6	8.1	Chalmers, Mario	
665	475	24.0	0.534	0.000	0.601	2.7	3.5	6.2	0.6	0.4	1.5	1.1	2.6	7.4	Haywood, Brendan	
21	0	4.7	0.286	0.091	0.286	0.1	0.7	0.9	0.1	0.1	0.0	0.2	0.6	1.1	Babbitt, Luke	
519	113	19.3	0.443	0.364	0.778	1.0	1.5	2.5	0.8	0.5	0.2	0.5	1.7	6.6	Evans, Maurice	
61	12	24.3	0.427	0.275	0.802	0.5	3.8	4.3	2.1	0.6	0.2	1.0	1.8	7.6	Turner, Evan	
510	407	29.6	0.563	0.100	0.682	2.2	4.7	6.9	1.8	1.2	0.9	1.9	3.4	12.3	Nene	
297	67	23.6	0.416	0.425	0.782	0.4	1.6	2.0	1.9	0.6	0.2	1.0	2.1	8.1	Gibson, Daniel	
11	0	4.5	0.583	0.000	0.556	0.7	0.5	1.3	0.2	0.1	0.3	0.6	0.9	1.7	Siler, Garret	
738	214	23.0	0.415	0.330	0.704	0.5	1.8	2.3	4.5	1.0	0.2	1.8	2.0	7.1	Watson, Earl	
51	7	10.0	0.528	0.000	0.453	1.5	2.3	3.7	0.5	0.4	0.3	0.7	1.6	2.4	Dorsey, Joey	
630	34	20.2	0.417	0.347	0.875	0.4	0.9	1.4	3.2	0.6	0.0	1.2	1.0	9.0	Boykins, Earl	
240	75	25.0	0.449	0.197	0.781	0.7	2.4	3.0	4.9	0.8	0.1	1.9	1.6	10.7	Sessions, Ramon	
99	9	20.7	0.397	0.303	0.709	0.5	3.5	4.0	2.6	0.5	0.1	1.6	1.5	7.7	Williams, Terrence	
211	153	27.7	0.486	0.053	0.689	2.6	4.7	7.3	1.3	0.5	0.8	1.7	3.5	10.9	Thompson, Jason	
605	444	27.6	0.470	0.215	0.748	2.6	5.2	7.8	1.1	0.7	0.7	1.6	2.7	11.8	Gooden, Drew	
294	294	38.0	0.462	0.357	0.880	1.0	5.3	6.3	2.7	1.2	0.9	3.1	1.9	25.8	Durant, Kevin	
136	114	29.3	0.445	0.375	0.780	0.8	2.5	3.3	4.9	1.3	0.3	2.4	2.4	10.7	Holiday, Jrue	
321	70	29.6	0.524	0.348	0.787	2.1	3.2	5.3	1.7	1.0	0.5	1.3	2.1	10.4	Childress, Josh	
125	123	32.8	0.374	0.357	0.805	0.6	2.9	3.5	5.4	1.3	0.3	2.4	2.2	15.6	Jennings, Brandon	
703	476	23.0	0.412	0.345	0.702	0.5	1.7	2.3	1.8	0.5	0.2	1.1	1.4	7.8	Stevenson, DeShawn	
362	321	34.6	0.491	0.239	0.769	2.8	4.6	7.4	1.6	0.8	1.0	1.5	2.9	17.2	Aldridge, LaMarcus	
471	209	27.2	0.448	0.349	0.849	0.3	2.3	2.6	4.0	0.8	0.1	1.9	1.9	10.3	Jack, Jarrett	
205	78	18.6	0.423	0.393	0.802	0.2	1.3	1.5	1.3	0.5	0.0	0.9	1.4	7.7	Belinelli, Marco	
73	0	6.0	0.424	0.000	0.635	0.8	1.4	2.2	0.3	0.0	0.5	0.5	1.2	1.8	Haddadi, Hamed	
36	14	13.1	0.474	0.000	0.717	1.2	1.8	3.0	0.4	0.4	0.7	0.9	2.2	4.0	Mozgov, Timofey	
45	0	11.4	0.504	0.000	0.594	1.0	1.8	2.8	0.5	0.4	0.3	0.6	1.4	4.2	Splitter, Tiago	
48	17	16.3	0.443	0.429	0.688	1.0	1.7	2.7	0.6	0.7	0.2	0.9	1.4	4.8	Gee, Alonzo	
372	62	17.5	0.525	0.000	0.558	1.8	2.2	4.0	0.4	0.4	0.8	0.7	1.9	5.8	Maxiell, Jason	
